Name,Store Number,Features,Phone Number,Insert Date,Owner
,11854 ,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
,11854,"Lunch, Oven-warmed Food, Reserve Amenity",6036798789,6/22/12
